memberStateCode,memberStateName,beginDate,endDate,weekNumber,price,unit,pigClass
LU,Luxembourg,19/10/2015,25/10/2015,43,"€142,70",100 KG,E
LU,Luxembourg,19/10/2015,25/10/2015,43,"€115,30",100 KG,R
LU,Luxembourg,19/10/2015,25/10/2015,43,"€34,08",P,Piglet
LU,Luxembourg,19/10/2015,25/10/2015,43,"€150,80",100 KG,S
MT,Malta,19/10/2015,25/10/2015,43,"€228,00",100 KG,Average S + E
MT,Malta,19/10/2015,25/10/2015,43,"€228,00",100 KG,E
MT,Malta,19/10/2015,25/10/2015,43,"€232,50",100 KG,S
MT,Malta,19/10/2015,25/10/2015,43,"€228,50",100 KG,R
MT,Malta,19/10/2015,25/10/2015,43,"€91,36",P,Piglet
NL,Netherlands,19/10/2015,25/10/2015,43,"€123,01",100 KG,Average S + E
NL,Netherlands,19/10/2015,25/10/2015,43,"€123,58",100 KG,S
NL,Netherlands,19/10/2015,25/10/2015,43,"€22,25",P,Piglet
NL,Netherlands,19/10/2015,25/10/2015,43,"€122,44",100 KG,E
PL,Poland,19/10/2015,25/10/2015,43,"€137,75",100 KG,Average S + E
PL,Poland,19/10/2015,25/10/2015,43,"€34,53",P,Piglet
PL,Poland,19/10/2015,25/10/2015,43,"€137,21",100 KG,E
PL,Poland,19/10/2015,25/10/2015,43,"€139,44",100 KG,S
PT,Portugal,19/10/2015,25/10/2015,43,"€35,00",P,Piglet
PT,Portugal,19/10/2015,25/10/2015,43,"€137,00",100 KG,E
PT,Portugal,19/10/2015,25/10/2015,43,"€137,00",100 KG,Average S + E
RO,Romania,19/10/2015,25/10/2015,43,"€156,67",100 KG,Average S + E
RO,Romania,19/10/2015,25/10/2015,43,"€157,93",100 KG,S
RO,Romania,19/10/2015,25/10/2015,43,"€155,01",100 KG,E
SK,Slovakia,19/10/2015,25/10/2015,43,"€154,74",100 KG,S
SK,Slovakia,19/10/2015,25/10/2015,43,"€152,98",100 KG,Average S + E
SK,Slovakia,19/10/2015,25/10/2015,43,"€149,47",100 KG,E
SK,Slovakia,19/10/2015,25/10/2015,43,"€55,66",P,Piglet
SK,Slovakia,19/10/2015,25/10/2015,43,"€138,42",100 KG,R
SI,Slovenia,19/10/2015,25/10/2015,43,"€162,42",100 KG,S
SI,Slovenia,19/10/2015,25/10/2015,43,"€157,90",100 KG,E
SI,Slovenia,19/10/2015,25/10/2015,43,"€161,06",100 KG,Average S + E
ES,Spain,19/10/2015,25/10/2015,43,"€137,98",100 KG,R
ES,Spain,19/10/2015,25/10/2015,43,"€137,92",100 KG,S
ES,Spain,19/10/2015,25/10/2015,43,"€22,02",P,Piglet
ES,Spain,19/10/2015,25/10/2015,43,"€133,66",100 KG,E
ES,Spain,19/10/2015,25/10/2015,43,"€137,32",100 KG,Average S + E
SE,Sweden,19/10/2015,25/10/2015,43,"€183,45",100 KG,Average S + E
SE,Sweden,19/10/2015,25/10/2015,43,"€182,47",100 KG,E
SE,Sweden,19/10/2015,25/10/2015,43,"€78,37",P,Piglet
SE,Sweden,19/10/2015,25/10/2015,43,"€185,34",100 KG,S
UK,UK up to 01/02/2020,19/10/2015,25/10/2015,43,"€175,59",100 KG,Average S + E
UK,UK up to 01/02/2020,19/10/2015,25/10/2015,43,"€172,08",100 KG,E
UK,UK up to 01/02/2020,19/10/2015,25/10/2015,43,"€176,65",100 KG,S
UK,UK up to 01/02/2020,19/10/2015,25/10/2015,43,"€180,77",100 KG,R
UK,UK up to 01/02/2020,19/10/2015,25/10/2015,43,"€58,97",P,Piglet
AT,Austria,07/09/2015,13/09/2015,37,"€163,32",100 KG,Average S + E
AT,Austria,07/09/2015,13/09/2015,37,"€167,71",100 KG,S
AT,Austria,07/09/2015,13/09/2015,37,"€154,90",100 KG,E
BE,Belgium,07/09/2015,13/09/2015,37,"€128,60",100 KG,E
BE,Belgium,07/09/2015,13/09/2015,37,"€135,88",100 KG,Average S + E
BE,Belgium,07/09/2015,13/09/2015,37,"€29,00",P,Piglet
BE,Belgium,07/09/2015,13/09/2015,37,"€137,20",100 KG,S
BG,Bulgaria,07/09/2015,13/09/2015,37,"€172,70",100 KG,E
BG,Bulgaria,07/09/2015,13/09/2015,37,"€172,70",100 KG,Average S + E
HR,Croatia,07/09/2015,13/09/2015,37,"€154,88",100 KG,S
HR,Croatia,07/09/2015,13/09/2015,37,"€46,31",P,Piglet
HR,Croatia,07/09/2015,13/09/2015,37,"€152,55",100 KG,Average S + E
HR,Croatia,07/09/2015,13/09/2015,37,"€151,18",100 KG,E
CY,Cyprus,07/09/2015,13/09/2015,37,"€162,30",100 KG,Average S + E
CY,Cyprus,07/09/2015,13/09/2015,37,"€162,30",100 KG,E
CZ,Czechia,07/09/2015,13/09/2015,37,"€147,77",100 KG,Average S + E
CZ,Czechia,07/09/2015,13/09/2015,37,"€146,47",100 KG,E
CZ,Czechia,07/09/2015,13/09/2015,37,"€150,32",100 KG,S
CZ,Czechia,07/09/2015,13/09/2015,37,"€45,36",P,Piglet
DK,Denmark,07/09/2015,13/09/2015,37,"€133,71",100 KG,Average S + E
DK,Denmark,07/09/2015,13/09/2015,37,"€38,73",P,Piglet
DK,Denmark,07/09/2015,13/09/2015,37,"€130,14",100 KG,E
DK,Denmark,07/09/2015,13/09/2015,37,"€136,04",100 KG,S
EU+UK,EU + UK,07/09/2015,13/09/2015,37,"€151,41",100 KG,S
EU+UK,EU + UK,07/09/2015,13/09/2015,37,"€149,79",100 KG,Average S + E
EU+UK,EU + UK,07/09/2015,13/09/2015,37,"€147,37",100 KG,E
EU+UK,EU + UK,07/09/2015,13/09/2015,37,"€187,00",100 KG,R
EU+UK,EU + UK,07/09/2015,13/09/2015,37,"€33,37",P,Piglet
EE,Estonia,07/09/2015,13/09/2015,37,"€148,79",100 KG,S
EE,Estonia,07/09/2015,13/09/2015,37,"€91,51",100 KG,R
EE,Estonia,07/09/2015,13/09/2015,37,"€139,25",100 KG,E
EE,Estonia,07/09/2015,13/09/2015,37,"€144,23",100 KG,Average S + E
EE,Estonia,07/09/2015,13/09/2015,37,"€33,97",P,Piglet
EU,European Union,07/09/2015,13/09/2015,37,"€150,06",100 KG,S
EU,European Union,07/09/2015,13/09/2015,37,"€148,76",100 KG,Average S + E
EU,European Union,07/09/2015,13/09/2015,37,"€146,82",100 KG,E
EU,European Union,07/09/2015,13/09/2015,37,"€32,40",P,Piglet
EU,European Union,07/09/2015,13/09/2015,37,"€186,99",100 KG,R
FI,Finland,07/09/2015,13/09/2015,37,"€150,20",100 KG,Average S + E
FI,Finland,07/09/2015,13/09/2015,37,"€117,99",100 KG,R
FI,Finland,07/09/2015,13/09/2015,37,"€43,73",P,Piglet
FI,Finland,07/09/2015,13/09/2015,37,"€146,65",100 KG,E
FI,Finland,07/09/2015,13/09/2015,37,"€152,63",100 KG,S
FR,France,07/09/2015,13/09/2015,37,"€157,00",100 KG,S
FR,France,07/09/2015,13/09/2015,37,"€24,40",P,Piglet
